,TimeSpent,PagesViewed,LeadStatus,EmailSent,LeadSource,PaymentHistory,Converted
0,46,6.0,1,1,2,1,0
1,42,8.0,2,1,1,0,0
2,56,11.0,3,1,1,1,0
3,24,15.0,3,1,1,1,0
4,39,14.0,1,1,1,1,0
5,56,9.0,1,1,7,0,0
6,17,10.0,3,1,8,1,0
7,25,3.0,3,1,8,0,0
8,28,14.0,1,1,3,0,0
9,17,14.0,2,1,8,0,0
10,39,14.0,2,1,7,1,0
11,10,6.0,3,1,7,0,0
12,5,8.0,2,0,2,0,0
13,30,15.0,3,1,7,0,0
14,32,5.0,3,1,3,1,0
15,30,9.0,3,1,3,1,0
16,10,2.0,2,1,7,0,0
17,16,9.0,2,1,2,1,0
18,40,13.0,1,1,8,1,0
19,55,12.0,2,1,2,0,0
20,11,5.0,3,1,1,1,0
21,60,15.0,1,1,2,1,1
22,29,3.0,3,1,3,1,0
23,22,7.0,3,1,3,1,0
24,12,2.0,2,1,8,1,0
25,19,8.0,1,1,2,1,0
26,16,14.0,2,1,8,0,0
27,60,3.0,3,1,1,0,0
28,49,10.0,3,1,2,0,0
29,6,4.0,1,1,7,0,0
30,41,2.0,1,1,3,1,0
31,49,15.0,1,1,2,1,0
32,48,14.0,2,1,7,1,0
33,56,11.0,2,1,1,1,0
34,30,2.0,3,1,8,0,0
35,18,10.0,1,1,2,1,0
36,60,11.0,3,1,8,0,0
37,45,4.0,1,1,3,1,0
38,54,6.0,2,1,1,1,0
39,25,14.0,2,1,8,1,0
40,39,4.0,3,1,3,1,0
41,57,9.0,1,1,8,1,0
42,49,15.0,2,1,7,1,0
43,53,9.0,1,0,8,1,0
44,34,9.0,1,1,2,0,0
45,54,10.0,1,1,1,1,0
46,41,12.0,1,1,8,0,0
47,14,3.0,3,1,8,0,0
48,58,3.0,2,1,3,1,0
49,9,9.0,2,1,7,1,0
50,14,5.0,2,1,8,1,0
51,44,14.0,3,1,8,1,0
52,26,13.0,3,1,8,1,0
53,44,9.0,3,1,1,1,0
54,10,3.0,1,1,2,0,0
55,32,13.0,1,1,2,0,0
56,5,14.0,2,1,8,1,0
57,58,13.0,3,1,1,1,0
58,19,12.0,3,1,7,0,0
59,58,4.0,1,1,3,1,0
60,41,5.0,3,1,3,1,0
61,43,10.0,1,1,1,0,0
62,40,12.0,2,1,8,0,0
63,57,5.0,1,1,2,0,0
64,43,11.0,2,1,8,1,0
65,47,3.0,3,1,7,1,0
66,39,14.0,3,1,8,0,0
67,43,10.0,3,1,7,0,0
68,59,2.0,3,1,8,0,0
69,6,10.0,3,1,7,0,0
70,28,2.0,2,1,8,1,0
71,46,6.0,2,1,8,1,0
72,15,8.0,2,1,2,1,0
73,11,14.0,1,1,3,0,0
74,26,3.0,3,1,8,1,0
75,13,11.0,1,1,2,0,0
76,28,12.0,3,1,7,0,0
77,51,11.0,2,1,7,1,0
78,35,2.0,2,0,1,0,0
79,59,7.0,1,1,1,1,0
80,23,13.0,1,1,2,1,0
81,12,12.0,1,1,8,1,0
82,44,2.0,1,0,8,0,0
83,16,7.0,3,1,7,0,0
84,14,5.0,1,1,1,0,0
85,55,14.0,2,1,1,1,0
86,54,13.0,3,1,1,0,0
87,42,8.0,2,1,7,1,0
88,10,8.0,1,1,8,0,0
89,25,6.0,1,1,2,0,0
90,17,4.0,3,1,1,0,0
91,55,9.0,2,1,3,0,0
92,22,13.0,2,1,3,0,0
93,45,9.0,1,1,8,0,0
94,32,6.0,2,1,7,0,0
95,10,15.0,2,1,3,1,0
96,44,12.0,3,1,8,1,0
97,10,4.0,3,0,2,1,0
98,43,3.0,2,1,1,0,0
99,55,15.0,3,1,8,1,0
100,39,7.0,3,1,7,0,0
101,58,12.0,3,1,7,1,0
102,33,4.0,1,1,3,1,0
103,38,15.0,2,1,2,1,0
104,34,4.0,2,1,1,0,0
105,26,11.0,1,1,7,1,0
106,40,11.0,3,1,8,0,0
107,13,7.0,1,1,3,0,0
108,56,9.0,3,1,2,1,0
109,33,4.0,2,1,2,0,0
110,17,3.0,2,1,2,0,0
111,26,14.0,1,1,2,1,0
112,48,8.0,3,1,8,0,0
113,31,2.0,3,1,2,0,0
114,16,3.0,2,1,2,1,0
115,18,10.0,3,0,7,0,0
116,16,2.0,1,1,8,1,0
117,29,4.0,2,1,2,1,0
118,12,3.0,3,1,1,1,0
119,7,3.0,3,1,8,1,0
120,5,10.0,2,1,8,1,0
121,16,12.0,1,1,3,1,0
122,35,3.0,3,1,1,0,0
123,59,5.0,3,1,3,1,0
124,7,7.0,1,1,7,0,0
125,17,6.0,2,1,7,0,0
126,12,13.0,2,1,3,0,0
127,49,10.0,2,1,3,1,0
128,24,14.0,1,1,8,1,0
129,53,4.0,2,1,2,1,0
130,24,12.0,1,1,1,1,0
131,52,5.0,2,1,1,0,0
132,15,13.0,3,1,1,0,0
133,27,15.0,2,1,1,0,0
134,53,15.0,2,1,7,1,0
135,50,8.0,3,1,2,0,0
136,12,13.0,2,1,7,0,0
137,8,5.0,2,0,2,0,0
138,52,2.0,1,1,3,1,0
139,12,12.0,2,1,8,1,0
140,48,3.0,3,1,3,1,0
141,60,14.0,3,1,2,0,0
142,10,11.0,3,1,7,1,0
143,7,8.0,2,1,1,0,0
144,57,6.0,1,1,1,1,0
145,43,4.0,1,1,3,1,0
146,53,15.0,1,1,3,1,0
147,5,7.0,2,1,2,0,0
148,54,11.0,3,0,8,0,0
