,TimeSpent,PagesViewed,LeadStatus,EmailSent,LeadSource,PaymentHistory,Converted
0,30,13.0,2,1,3,0,0
1,28,4.0,1,1,1,0,0
2,45,10.0,2,1,1,0,0
3,45,15.0,2,1,7,1,0
4,31,11.0,3,1,3,0,0
5,19,6.0,1,1,8,1,0
6,42,15.0,3,0,1,1,0
7,45,11.0,2,1,1,0,0
8,12,3.0,2,1,3,1,0
9,27,12.0,1,1,3,1,0
10,26,12.0,2,1,2,0,0
11,58,5.0,1,0,7,0,0
12,17,2.0,3,1,2,0,0
13,40,3.0,2,1,7,1,0
14,26,3.0,3,1,8,1,0
15,26,2.0,2,1,8,0,0
16,5,13.0,1,0,8,1,0
17,22,8.0,1,1,2,0,0
18,58,10.0,2,1,2,0,0
19,55,13.0,2,1,1,0,0
20,5,6.0,3,1,8,0,0
21,5,14.0,2,0,8,1,0
22,28,15.0,3,1,7,1,0
23,23,10.0,1,0,1,1,0
24,53,4.0,3,1,8,1,0
25,38,10.0,3,1,1,1,0
26,52,15.0,3,1,7,0,0
27,43,15.0,3,1,7,0,0
28,38,3.0,3,1,3,0,0
29,7,7.0,2,1,1,0,0
30,57,13.0,2,1,8,1,0
31,24,15.0,3,1,2,1,0
32,23,10.0,1,1,7,0,0
33,7,8.0,1,1,3,0,0
34,25,6.0,2,1,2,0,0
35,51,12.0,3,1,3,0,0
36,49,3.0,1,1,2,0,0
37,19,9.0,1,1,7,0,0
38,58,8.0,1,1,1,1,0
39,51,5.0,1,1,8,0,0
40,7,3.0,1,0,8,0,0
41,52,5.0,2,0,3,1,0
42,14,2.0,3,1,3,0,0
43,60,4.0,1,1,8,1,0
44,13,11.0,2,1,3,1,0
45,54,7.0,1,1,2,0,0
46,58,9.0,3,1,3,0,0
47,28,6.0,3,1,3,0,0
48,21,15.0,3,1,8,0,0
49,50,6.0,1,1,1,0,0
50,14,9.0,3,1,2,1,0
51,46,6.0,1,0,8,0,0
52,41,4.0,1,1,1,1,0
53,36,12.0,2,1,3,1,0
54,31,13.0,2,0,2,0,0
55,24,11.0,1,1,7,0,0
56,53,11.0,2,1,7,1,0
57,48,9.0,1,1,8,1,0
58,30,5.0,1,1,8,1,0
59,47,15.0,3,1,1,0,0
60,22,14.0,1,1,8,0,0
61,44,12.0,1,1,8,0,0
62,49,2.0,1,1,3,1,0
63,38,10.0,3,1,7,1,0
64,44,8.0,2,0,2,1,0
65,30,3.0,3,1,7,0,0
66,27,2.0,2,1,7,1,0
67,14,4.0,2,0,8,0,0
68,31,11.0,3,1,1,0,0
69,20,8.0,3,1,2,1,0
70,58,14.0,2,1,3,0,0
71,44,8.0,2,1,1,1,0
72,12,3.0,3,1,3,0,0
73,15,13.0,1,1,7,1,0
74,39,14.0,3,1,3,1,0
75,7,14.0,1,1,3,0,0
76,7,2.0,2,1,3,1,0
77,46,2.0,1,1,2,1,0
78,22,12.0,2,1,2,0,0
79,43,13.0,1,1,7,0,0
80,44,4.0,2,1,1,1,0
81,52,11.0,2,1,2,1,0
82,58,13.0,3,1,1,1,0
83,10,10.0,3,1,8,0,0
84,42,3.0,2,1,2,1,0
85,43,5.0,1,1,7,1,0
86,18,13.0,1,1,7,1,0
87,45,9.0,1,1,3,0,0
88,13,15.0,2,1,2,1,0
89,40,15.0,1,1,3,1,0
90,60,14.0,2,1,7,0,0
91,6,13.0,3,1,8,0,1
92,48,11.0,1,1,1,0,0
93,39,14.0,1,1,2,1,1
94,14,14.0,1,1,1,0,0
95,30,11.0,2,1,3,0,0
96,18,4.0,1,1,3,0,0
97,53,10.0,2,1,7,1,0
98,7,9.0,1,1,1,0,0
99,41,12.0,3,1,8,0,0
100,23,6.0,2,1,7,1,0
101,60,15.0,1,1,7,0,0
102,17,8.0,2,1,1,1,0
103,33,13.0,1,1,1,0,1
104,18,15.0,2,1,2,1,0
105,35,14.0,2,1,1,1,0
106,31,12.0,2,1,3,1,0
107,8,11.0,1,1,1,0,0
108,10,11.0,3,1,1,1,0
109,22,6.0,1,1,3,1,0
110,40,6.0,2,1,2,0,0
111,17,6.0,3,1,3,1,0
112,30,15.0,1,1,8,1,0
113,7,2.0,2,1,7,0,0
114,21,2.0,1,1,1,0,0
115,23,12.0,3,1,7,0,0
116,49,2.0,1,1,3,0,0
117,56,10.0,2,1,7,0,0
118,53,12.0,3,1,3,1,0
119,10,7.0,2,1,2,1,0
120,42,6.0,2,1,2,1,0
121,21,6.0,2,1,8,1,0
122,36,4.0,3,1,1,1,0
123,50,12.0,1,1,2,0,0
124,26,5.0,3,1,1,1,0
125,39,7.0,3,1,1,1,0
126,33,10.0,2,1,2,0,0
127,29,5.0,1,1,1,1,0
128,31,14.0,3,1,2,1,0
129,39,9.0,3,0,2,0,0
130,25,10.0,3,1,7,0,0
131,41,6.0,1,1,8,1,0
132,55,12.0,3,1,8,1,0
133,27,5.0,2,1,2,1,0
134,57,11.0,3,1,8,1,0
135,42,10.0,1,1,8,0,0
136,34,12.0,3,1,3,1,0
137,56,13.0,3,1,1,1,1
138,11,13.0,3,1,3,1,0
139,33,8.0,3,1,2,1,0
140,39,6.0,2,1,8,0,0
141,41,3.0,2,1,2,0,0
142,42,7.0,3,1,7,0,0
143,26,14.0,2,1,3,0,0
144,18,5.0,2,1,3,0,0
145,9,7.0,2,1,2,0,0
146,8,2.0,1,1,7,1,0
147,54,11.0,2,1,2,0,0
148,18,9.0,2,1,3,1,0
149,11,2.0,2,1,8,1,0
150,51,14.0,1,1,2,1,0
151,42,4.0,2,1,7,0,0
152,34,11.0,2,1,2,1,0
153,19,2.0,3,1,7,0,0
154,25,5.0,2,1,7,0,0
155,22,8.0,1,1,1,1,0
156,49,10.0,2,1,1,0,0
157,41,4.0,3,1,8,0,0
158,18,9.0,1,1,3,1,0
159,12,2.0,3,0,7,1,0
160,54,3.0,2,1,8,0,0
161,49,13.0,3,1,1,1,0
162,16,7.0,2,1,1,0,0
163,60,7.0,1,1,1,0,0
164,44,4.0,3,1,8,0,0
165,13,10.0,3,1,3,1,0
166,22,10.0,3,1,7,1,0
167,21,12.0,2,0,7,0,0
168,24,5.0,1,1,3,0,0
169,47,6.0,3,1,1,0,0
170,15,9.0,3,1,3,0,0
171,55,10.0,3,1,7,0,0
172,42,14.0,3,1,3,1,0
173,36,15.0,2,1,7,0,0
174,57,14.0,1,1,1,0,1
175,8,11.0,3,1,8,1,0
176,23,8.0,1,1,7,0,0
177,21,10.0,1,1,2,0,0
178,15,8.0,2,1,3,0,0
179,15,15.0,1,1,2,0,0
180,50,14.0,3,1,8,1,1
181,60,10.0,2,1,2,0,0
182,17,6.0,3,1,7,1,0
183,56,7.0,3,1,3,0,0
184,60,13.0,1,1,2,1,0
185,58,10.0,1,1,8,0,0
186,21,11.0,2,1,1,1,0
187,51,7.0,2,1,3,1,0
188,23,11.0,3,1,2,0,0
189,21,11.0,1,1,3,1,0
190,21,2.0,2,1,8,0,0
191,58,11.0,1,1,7,1,0
192,30,8.0,1,1,8,0,0
193,50,15.0,3,1,2,0,1
194,45,5.0,1,1,1,0,0
195,42,6.0,2,1,7,0,0
196,25,4.0,2,1,1,0,0
197,8,4.0,3,0,7,1,0
198,51,8.0,2,1,8,1,0
199,36,10.0,1,1,3,1,0
200,56,4.0,1,1,1,0,0
201,34,11.0,3,1,2,0,0
202,53,14.0,3,1,1,0,0
203,57,13.0,3,1,3,0,0
204,47,9.0,3,1,7,1,0
205,29,4.0,2,1,2,1,0
206,54,12.0,1,1,2,0,0
207,60,2.0,2,1,3,0,0
208,27,7.0,1,0,2,1,0
209,21,12.0,3,1,2,1,0
210,10,13.0,2,1,1,0,0
211,38,5.0,1,1,2,1,0
212,43,2.0,2,1,2,0,0
213,55,8.0,3,0,2,0,0
214,19,8.0,2,1,8,0,0
215,16,9.0,1,1,1,1,0
216,48,5.0,2,1,8,1,0
217,55,12.0,1,1,1,0,0
218,46,6.0,1,1,8,1,0
219,27,8.0,3,1,2,0,0
220,53,6.0,3,1,3,1,0
221,14,9.0,1,1,8,1,0
222,28,2.0,3,1,8,1,0
